ID,Class,category,x1,x2
PTC4091,7,Polyethers,7.210539,3.3654022
PTC0452,7,Polyethers,10.108156,19.145597
PTC3896,14,Polyanhydrides,6.8704224,10.564293
PTC0962,9,Polyesters,6.195106,-0.43886185
PTC2173,7,Polyethers,8.525601,10.074545
PTC2839,9,Polyesters,17.252249,4.8405395
PTC2393,7,Polyethers,9.073551,6.040939
PTC1982,7,Polyethers,6.4716606,9.994803
PTC2978,10,Polyamides,5.9407825,13.896817
PTC2911,10,Polyamides,4.486439,4.254482
PTC1358,10,Polyamides,-3.208076,17.321173
PTC3708,19,Polyphenylenes,8.844324,5.355797
PTC2234,7,Polyethers,7.119868,9.614138
PTC1444,11,Polyurethanes,8.888653,11.363584
PTC2795,9,Polyesters,-4.563821,14.439123
PTC1018,9,Polyesters,12.535213,10.328936
PTC1960,11,Polyurethanes,11.751684,12.90258
PTC1482,12,Polyureas,8.441709,11.412571
PTC0923,9,Polyesters,-4.681261,-0.7321247
PTC0030,9,Polyesters,-5.6346507,0.9239377
PTC4196,19,Polyphenylenes,7.2714205,6.665066
PTC0743,11,Polyurethanes,-4.9250236,4.361203
PTC2801,9,Polyesters,10.637573,9.206309
PTC2708,9,Polyesters,6.2291646,11.936348
PTC0503,10,Polyamides,4.8315854,5.1715264
PTC1728,19,Polyphenylenes,7.172408,6.4415827
PTC0942,9,Polyesters,3.1911333,1.5849657
PTC0102,9,Polyesters,-5.63172,0.92963326
PTC0877,9,Polyesters,13.616749,12.318731
PTC1618,15,Polycarbonates,11.020745,7.20071
PTC0964,9,Polyesters,-6.1198893,20.080643
PTC0857,9,Polyesters,11.339118,12.105653
PTC1966,17,Polyketones,13.882007,0.92423844
PTC0462,7,Polyethers,9.750632,18.84034
PTC0804,9,Polyesters,13.115741,22.633831
PTC3050,10,Polyamides,23.376938,0.2794695
PTC0017,4,Polyacrylics,2.1824234,12.712412
PTC4246,16,Polyimines,7.013024,9.589447
PTC4358,10,Polyamides,22.880898,9.862603
PTC0396,4,Polyacrylics,2.6789,12.708401
PTC1424,11,Polyurethanes,6.6388106,16.073328
